open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,ignore,return_1d,return_7d,volatility_20d,rsi,macd,macd_signal,macd_histogram,sma_20,sma_50,sma_200,bb_upper,bb_lower,bb_width,stoch_k,stoch_d
2023-09-05,25826.03,25915.49,25562.62,25792.1,21323.39337,2023-09-05 23:59:59.999,548893707.6002005,566736,9926.65838,255537038.4660957,0,-0.0013134040785224288,-0.06942619407901629,0.48425268149917927,36.20899672104624,-648.5554418855572,-686.1270184698021,37.571576584244895,26214.1625,28133.8494,,27168.790123586765,25259.534876413232,0.07283296756757088,16.316613862091017,19.47677925530665
2023-09-06,25792.11,26040.0,25372.51,25759.95,27262.52386,2023-09-06 23:59:59.999,700763180.8011677,636302,12736.70564,327416444.78409594,0,-0.0012465057129895651,-0.0564117422753635,0.3745062736806258,35.92270374084846,-636.6752591667391,-676.2366666091896,39.561407442450445,26170.9895,28051.865799999996,,27125.779196100095,25216.199803899905,0.07296550221000205,15.172119184080344,16.663998539060962
2023-09-07,25759.95,26443.14,25615.38,26255.0,27687.49567,2023-09-07 23:59:59.999,718923008.9071183,631929,13506.19156,350741324.2920373,0,0.01921781680476853,0.012112974243642771,0.373183804480814,43.350244120494054,-580.6206971030842,-657.1134727079685,76.49277560488429,26181.0395,27978.7816,,27134.922929973975,25227.156070026023,0.07286826254350792,32.79520131002814,21.427978118733176
2023-09-08,26255.0,26445.5,25647.26,25910.5,28999.76471,2023-09-08 23:59:59.999,754184537.1096923,646852,14238.89945,370236844.4314076,0,-0.01312131022662355,0.004086409443113004,0.3776551972519108,39.88542981127666,-557.5680265734009,-637.204383481055,79.63635690765409,26171.564000000002,27900.991599999998,,27132.219831094528,25210.908168905476,0.0734121836275834,20.531486953116666,22.83293581574172
2023-09-09,25910.5,25945.09,25796.64,25901.61,10980.62277,2023-09-09 23:59:59.999,284109473.8075783,359038,5212.44349,134863388.7628859,0,-0.0003431041469674767,0.0012408429846564317,0.3773026979614124,39.79703305462134,-533.8619396732429,-616.5358947194925,82.6739550462496,26157.144999999997,27820.9894,,27124.89244871785,25189.397551282145,0.07399488351789552,20.21501548538681,24.513901249510543
2023-09-10,25901.6,26033.66,25570.57,25841.61,18738.26914,2023-09-10 23:59:59.999,483577459.20553446,489773,8747.51072,225752901.04035008,0,-0.002316458320544501,-0.00499014100613715,0.37729338295980863,39.16612391236051,-513.9912227039094,-596.026960316376,82.0357376124665,26142.8795,27741.941600000002,,27120.351168980185,25165.407831019813,0.07477918941409543,18.079100067637352,19.608534168713614
2023-09-11,25841.6,25900.69,24901.0,25162.52,41682.32,2023-09-11 23:59:59.999,1057371884.6697066,864138,19664.90243,498821645.3852223,0,-0.026278935406888304,-0.025691144047747194,0.3932062465143102,32.82358786628309,-546.7379689791705,-586.1691620489349,39.43119306976439,26098.2055,27643.517000000003,,27165.060288103286,25031.350711896714,0.08175694594046218,8.06699878155993,15.4537047781947
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,2023-09-12 23:59:59.999,1464393036.9616623,1047056,27720.5183,719147319.9787064,0,0.026928145511657675,0.001861034968071662,0.4063442125849528,42.78029809681732,-512.1116537363778,-571.3576603864235,59.24600665004573,26068.5745,27576.789,,27129.52259200964,25007.626407990356,0.08139670943723011,32.74898258804488,19.63169381241406
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,2023-09-13 23:59:59.999,825437881.4687591,714880,15287.00038,399099781.6207648,0,0.01477935456906132,0.0179367584176211,0.40969221186987353,47.50316740240868,-448.6817867656828,-546.8224856622753,98.14069889659254,26070.672,27516.6508,,27132.65871145354,25008.685288546458,0.08146983794307573,49.171601817972046,29.995861062525623
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,2023-09-14 23:59:59.999,1015267319.7730228,799278,19440.45467,514863794.3783894,0,0.011468614140797806,0.01019729575318995,0.41175218748617,50.93734803958978,-369.8829817400365,-511.4345848778276,141.55160313779112,26093.808,27460.0662,,27173.865048837655,25013.750951162347,0.08278263171382684,82.76286176505101,54.89448205702265
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,2023-09-15 23:59:59.999,695203258.0004445,654094,12600.39115,334045930.7667212,0,0.0029133501717206745,0.026610833445900317,0.4116301576483035,51.80965415794257,-297.7668469565215,-468.7010372935664,170.93419033704492,26122.9395,27407.6106,,27224.39588414733,25021.483115852672,0.08432867090989728,85.50578761952693,72.48008373418332
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,2023-09-16 23:59:59.999,370889866.4592735,526416,6508.91352,172926781.3888423,0,-0.001516165413533943,0.025406142706958956,0.41170661633059746,51.29701475472569,-241.08945535169914,-423.17872090519296,182.08926555349382,26145.8345,27352.521199999996,,27263.4956823173,25028.1733176827,0.08549439738229053,83.4760946149974,83.91491466652512
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,2023-09-17 23:59:59.999,344703727.5601071,476775,6359.89459,168675580.016463,0,-0.0012108584180451354,0.02654246387899195,0.41182220079508564,50.86480834321083,-196.50210346357198,-377.8433974168688,181.34129395329683,26166.21,27296.0134,,27296.036370572005,25036.383629427994,0.08635766284624373,81.85757423251124,83.61315215567852
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,2023-09-18 23:59:59.999,1158780347.6253047,938705,21551.71605,580912488.7594309,0,0.00885872816559119,0.06358623858023749,0.31420300146973096,53.92006353200605,-140.58321405306197,-330.3913607441075,189.80814669104552,26118.5185,27245.641799999998,,27044.771081951007,25192.26591804899,0.07092688522520972,74.22288676236037,79.85218520328966
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,2023-09-19 23:59:59.999,981539255.55962,898076,17851.15558,484061308.12493294,0,0.016730493514995448,0.053024562598442015,0.3174471922378159,59.134038832873195,-59.45208173368155,-276.2035049420223,216.75142320834073,26114.032,27205.201999999997,,27017.950276363466,25210.113723636532,0.06922854933803153,89.41713099741725,81.83253066409628
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,2023-09-20 23:59:59.999,927206075.9626272,867288,16983.43086,460402346.17078334,0,-0.0031333768953327734,0.03443673251468238,0.22651144185878366,57.793044059462396,-2.011655195889034,-221.36513499279562,219.35347979690658,26173.243,27153.582199999997,27772.305699999997,27173.968980757923,25172.517019242074,0.07646939133663527,86.11576840124373,83.25192872034044
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,2023-09-21 23:59:59.999,920768143.3513128,823416,16878.78202,450738363.8506985,0,-0.020531612903225693,0.0017098541515145893,0.24496421889441808,49.84211031295207,-1.4122138321399689,-177.3745507606645,175.96233692852454,26211.3945,27101.223599999998,27792.994899999998,27211.242675984187,25211.54632401581,0.0762911088903865,64.55120287155825,80.02803409007308
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,2023-09-22 23:59:59.999,484331618.9485319,567149,8484.09679,225805692.72356927,0,0.00045392817245337724,-0.0007466165413534398,0.24496568300070135,50.00251972938984,0.035578846946009435,-141.8925248391424,141.9281036860884,26246.926,27048.953599999997,27813.8456,27246.157740656745,25247.694259343254,0.0761408586023937,65.0181795653167,71.8950502793729
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,2023-09-23 23:59:59.999,250873957.3886738,421717,4387.1973,116581214.130133,0,-0.00015726027026197187,0.0006133359337672228,0.24478759285387314,49.942901643115725,0.836036600110674,-113.34681255129179,114.18284915140246,26277.163500000002,26998.193000000003,27835.7356,27277.79113204447,25276.535867955536,0.07615948593876708,64.8563252883755,64.80856924175015
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,2023-09-24 23:59:59.999,416368301.3736848,545045,7547.06342,200078452.01675767,0,-0.012326177492741452,-0.01052228422494228,0.25002789707671724,45.376797969457705,-24.678089508950507,-95.61306794282353,70.93497843387303,26298.2815,26941.717999999997,27858.450300000004,27277.5319198472,25319.031080152803,0.07447257873843946,52.17206116387944,60.682188672523885
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,2023-09-25 23:59:59.999,688252596.3809944,873488,12654.58207,331622453.1518055,0,0.0021498469619840588,-0.01710228225977295,0.24987854113205324,46.287806081089066,-39.88501920113049,-84.46745819448493,44.582438993354444,26323.916999999998,26886.0458,27888.163249999998,27275.26722541854,25372.566774581454,0.07228029365223604,49.88457074346652,55.63765239857383
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,2023-09-26 23:59:59.999,485217905.0421048,697727,8813.76144,231246870.5474588,0,-0.0031606386816709353,-0.03633151612663754,0.250352181400755,45.09449608027848,-57.97700093487583,-79.16936674256311,21.19236580768728,26347.002999999997,26826.257999999998,27918.51815,27264.28950497209,25429.716495027904,0.06963118385587107,26.60811911131788,42.88825033955462
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,2023-09-27 23:59:59.999,918797815.048481,939690,16813.75506,444221386.42614096,0,0.005770799495226742,-0.02772387096774187,0.2377995502782536,47.735473566344275,-59.41981282388224,-75.21945595882694,15.799643134944702,26352.902499999997,26758.3094,27948.10445,27269.26349340539,25436.541506594604,0.06954535603092624,25.61967972888818,34.03745652789086
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,2023-09-28 23:59:59.999,1193420040.1309185,1158974,22463.19242,602340703.6015062,0,0.024585759900564774,0.0170622039680699,0.2511093914142805,57.229036035117154,-8.148855610721512,-61.805335889205864,53.65648027848435,26408.446999999996,26707.097400000002,27973.22585,27345.254246686276,25471.639753313717,0.07094754543394995,69.04581711997106,40.42453865339238
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,2023-09-29 23:59:59.999,767827314.931909,878610,14409.35554,388591243.2591525,0,-0.004234793250828317,0.012295646298326579,0.2524085387714216,55.31926981632646,22.985243124498083,-44.84722008646508,67.83246321096317,26458.714500000002,26656.121600000002,27987.193249999997,27389.212659342043,25528.21634065796,0.07033585545828702,61.38194774664959,52.015814865169624
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,2023-09-30 23:59:59.999,345406056.6806953,534908,6221.24272,167818583.0599575,0,0.002066379851161315,0.01454698155776879,0.2516658311762303,56.086075987416685,51.551443066626234,-25.567487455846816,77.11893052247305,26514.762,26606.8522,27998.654,27424.63561776454,25604.88838223546,0.06863147538450774,65.10571893564452,65.1778279340884
